model,operation,feature,pixel4|gpu|float,pixel4|gpu|kernel,s10|gpu|float,s10|gpu|kernel,mi8se|gpu|float,mi8se|gpu|kernel,a03s|gpu|float,a03s|gpu|kernel,iphone7|gpu|float,iphone7|gpu|kernel,iphonexs|gpu|float,iphonexs|gpu|kernel
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 256, 'Output_shape': '110', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '792985600'}",2103.1424,convolution_2d_26_linked_:_relu_27,2140.05,convolution_2d_26_linked_:_relu_27,8807.2448,convolution_2d_26_linked_:_relu_27,23102.227,convolution_2d_26_linked_:_relu_27,3473.445,convolution_2d_26_linked_:_relu_27,1171.059,convolution_2d_26_linked_:_relu_27
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '2', 'Kernel': '3', 'Filter': '128', 'Group': '1', 'FLOPS': '859963392'}",3066.1376,convolution_2d_28_linked_:_relu_29,2780.079,convolution_2d_28_linked_:_relu_29,10640.7168,convolution_2d_28_linked_:_relu_29,24477.965,convolution_2d_28_linked_:_relu_29,4857.797,convolution_2d_28_linked_:_relu_29,2154.168,convolution_2d_28_linked_:_relu_29
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1015.8464,convolution_2d_30,1090.382,convolution_2d_30,4145.9712,convolution_2d_30,11620.289,convolution_2d_30,1428.758,convolution_2d_30,595.063,convolution_2d_30
bagnet9,CONV_2D,"{'Input_shape': '110', 'Input_channel': 256, 'Output_shape': '55', 'Stride': '2', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '792985600'}",2457.8944,convolution_2d_31,2358.325,convolution_2d_31,9265.5488,convolution_2d_31,23943.848,convolution_2d_31,4246.496,convolution_2d_31,1918.016,convolution_2d_31
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 512, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '382205952'}",1074.816,convolution_2d_35_linked_:_relu_36,1356.121,convolution_2d_35_linked_:_relu_36,4321.7408,convolution_2d_35_linked_:_relu_36,11048.453,convolution_2d_35_linked_:_relu_36,1424.519,convolution_2d_35_linked_:_relu_36,576.328,convolution_2d_35_linked_:_relu_36
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '95551488'}",287.5264,convolution_2d_37_linked_:_relu_38,344.945,convolution_2d_37_linked_:_relu_38,1123.904,convolution_2d_37_linked_:_relu_38,3053.941,convolution_2d_37_linked_:_relu_38,388.336,convolution_2d_37_linked_:_relu_38,155.18,convolution_2d_37_linked_:_relu_38
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1116.5312,convolution_2d_39_linked_:_add_40_linked_:_relu_41,1178.4,convolution_2d_39_linked_:_add_40_linked_:_relu_41,4376.0896,convolution_2d_39_linked_:_add_40_linked_:_relu_41,11700.668,convolution_2d_39_linked_:_add_40_linked_:_relu_41,1754.317,convolution_2d_39_linked_:_add_40_linked_:_relu_41,602.02,convolution_2d_39_linked_:_add_40_linked_:_relu_41
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 512, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '382205952'}",1060.7744,convolution_2d_42_linked_:_relu_43,1360.123,convolution_2d_42_linked_:_relu_43,4322.0864,convolution_2d_42_linked_:_relu_43,11032.031,convolution_2d_42_linked_:_relu_43,1425.406,convolution_2d_42_linked_:_relu_43,576.215,convolution_2d_42_linked_:_relu_43
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '128', 'Group': '1', 'FLOPS': '95551488'}",286.5152,convolution_2d_44_linked_:_relu_45,341.38,convolution_2d_44_linked_:_relu_45,1122.56,convolution_2d_44_linked_:_relu_45,3046.48,convolution_2d_44_linked_:_relu_45,388.508,convolution_2d_44_linked_:_relu_45,154.883,convolution_2d_44_linked_:_relu_45
bagnet9,CONV_2D,"{'Input_shape': '54', 'Input_channel': 128, 'Output_shape': '54', 'Stride': '1', 'Kernel': '1', 'Filter': '512', 'Group': '1', 'FLOPS': '382205952'}",1113.9968,convolution_2d_46_linked_:_add_47_linked_:_relu_48,1167.065,convolution_2d_46_linked_:_add_47_linked_:_relu_48,4351.3984,convolution_2d_46_linked_:_add_47_linked_:_relu_48,11708.766,convolution_2d_46_linked_:_add_47_linked_:_relu_48,1755.11,convolution_2d_46_linked_:_add_47_linked_:_relu_48,601.981,convolution_2d_46_linked_:_add_47_linked_:_relu_48
