model,FLOPS,size,pixel4|1large|float|mean,pixel4|1large|float|std,pixel4|1med|float|mean,pixel4|1med|float|std,pixel4|2med|float|mean,pixel4|2med|float|std,pixel4|3med|float|mean,pixel4|3med|float|std,pixel4|1large1med|float|mean,pixel4|1large1med|float|std,pixel4|1small|float|mean,pixel4|1small|float|std,pixel4|2small|float|mean,pixel4|2small|float|std,pixel4|3small|float|mean,pixel4|3small|float|std,pixel4|4small|float|mean,pixel4|4small|float|std,pixel4|gpu|float|mean,pixel4|gpu|float|std,s10|1large|float|mean,s10|1large|float|std,s10|2large|float|mean,s10|2large|float|std,s10|1med|float|mean,s10|1med|float|std,s10|2med|float|mean,s10|2med|float|std,s10|1large2med|float|mean,s10|1large2med|float|std,s10|1small|float|mean,s10|1small|float|std,s10|2small|float|mean,s10|2small|float|std,s10|3small|float|mean,s10|3small|float|std,s10|4small|float|mean,s10|4small|float|std,s10|gpu|float|mean,s10|gpu|float|std,mi8se|1large|float|mean,mi8se|1large|float|std,mi8se|2large|float|mean,mi8se|2large|float|std,mi8se|1small|float|mean,mi8se|1small|float|std,mi8se|2small|float|mean,mi8se|2small|float|std,mi8se|3small|float|mean,mi8se|3small|float|std,mi8se|4small|float|mean,mi8se|4small|float|std,mi8se|5small|float|mean,mi8se|5small|float|std,mi8se|6small|float|mean,mi8se|6small|float|std,mi8se|gpu|float|mean,mi8se|gpu|float|std,a03s|1large|float|mean,a03s|1large|float|std,a03s|2large|float|mean,a03s|2large|float|std,a03s|3large|float|mean,a03s|3large|float|std,a03s|4large|float|mean,a03s|4large|float|std,a03s|1small|float|mean,a03s|1small|float|std,a03s|2small|float|mean,a03s|2small|float|std,a03s|3small|float|mean,a03s|3small|float|std,a03s|4small|float|mean,a03s|4small|float|std,a03s|gpu|float|mean,a03s|gpu|float|std,iphone7|1large|float|mean,iphone7|1large|float|std,iphone7|2large|float|mean,iphone7|2large|float|std,iphone7|gpu|float|mean,iphone7|gpu|float|std,iphonexs|1large|float|mean,iphonexs|1large|float|std,iphonexs|2large|float|mean,iphonexs|2large|float|std,iphonexs|1small|float|mean,iphonexs|1small|float|std,iphonexs|2small|float|mean,iphonexs|2small|float|std,iphonexs|3small|float|mean,iphonexs|3small|float|std,iphonexs|4small|float|mean,iphonexs|4small|float|std,iphonexs|gpu|float|mean,iphonexs|gpu|float|std,pixel4|1large|quant|mean,pixel4|1large|quant|std,pixel4|1med|quant|mean,pixel4|1med|quant|std,pixel4|2med|quant|mean,pixel4|2med|quant|std,pixel4|3med|quant|mean,pixel4|3med|quant|std,pixel4|1large1med|quant|mean,pixel4|1large1med|quant|std,pixel4|1small|quant|mean,pixel4|1small|quant|std,pixel4|2small|quant|mean,pixel4|2small|quant|std,pixel4|3small|quant|mean,pixel4|3small|quant|std,pixel4|4small|quant|mean,pixel4|4small|quant|std,s10|1large|quant|mean,s10|1large|quant|std,s10|2large|quant|mean,s10|2large|quant|std,s10|1med|quant|mean,s10|1med|quant|std,s10|2med|quant|mean,s10|2med|quant|std,s10|1large2med|quant|mean,s10|1large2med|quant|std,s10|1small|quant|mean,s10|1small|quant|std,s10|2small|quant|mean,s10|2small|quant|std,s10|3small|quant|mean,s10|3small|quant|std,s10|4small|quant|mean,s10|4small|quant|std,mi8se|1large|quant|mean,mi8se|1large|quant|std,mi8se|2large|quant|mean,mi8se|2large|quant|std,mi8se|1small|quant|mean,mi8se|1small|quant|std,mi8se|2small|quant|mean,mi8se|2small|quant|std,mi8se|3small|quant|mean,mi8se|3small|quant|std,mi8se|4small|quant|mean,mi8se|4small|quant|std,mi8se|5small|quant|mean,mi8se|5small|quant|std,mi8se|6small|quant|mean,mi8se|6small|quant|std,a03s|1large|quant|mean,a03s|1large|quant|std,a03s|2large|quant|mean,a03s|2large|quant|std,a03s|3large|quant|mean,a03s|3large|quant|std,a03s|4large|quant|mean,a03s|4large|quant|std,a03s|1small|quant|mean,a03s|1small|quant|std,a03s|2small|quant|mean,a03s|2small|quant|std,a03s|3small|quant|mean,a03s|3small|quant|std,a03s|4small|quant|mean,a03s|4small|quant|std,iphone7|1large|quant|mean,iphone7|1large|quant|std,iphone7|2large|quant|mean,iphone7|2large|quant|std,iphonexs|1large|quant|mean,iphonexs|1large|quant|std,iphonexs|2large|quant|mean,iphonexs|2large|quant|std,iphonexs|1small|quant|mean,iphonexs|1small|quant|std,iphonexs|2small|quant|mean,iphonexs|2small|quant|std,iphonexs|3small|quant|mean,iphonexs|3small|quant|std,iphonexs|4small|quant|mean,iphonexs|4small|quant|std
ghostnet,282589248,20729520,19438.4,29.0,22841.2,51.0,14532.4,34.0,11869.0,34.0,13834.9,37.0,106553.0,408.0,61362.9,1011.0,47026.6,553.0,40130.8,1167.0,5924.1,145.0,17006.4,233.0,12756.1,93.0,43499.3,169.0,26068.9,81.0,18095.6,733.0,130172.0,2780.0,74613.7,2701.0,58593.1,2112.0,66781.2,5360.0,13645.8,1350.0,49358.9,268.0,33137.3,168.0,135842.0,2218.0,80631.1,1776.0,62494.0,949.0,52222.6,1027.0,46727.2,1468.0,48505.8,2351.0,13677.1,102.0,154322.0,240.0,114063.0,3309.0,93419.8,1089.0,81855.6,603.0,173371.0,341.0,126479.0,2208.0,99091.1,976.0,88674.2,708.0,44191.7,846.0,17562.4,888,11621.2,790,6673.93,373,13537.0,51,8795.58,35,59314.4,488,36252.7,232,29257.5,1289,26558.6,3070,3639.31,50,14135.3,25.0,17055.9,47.0,12853.4,41.0,11320.3,39.0,11216.6,24.0,61288.9,578.0,44526.2,464.0,38692.1,478.0,35672.1,289.0,11960.1,86.0,10038.8,486.0,29229.0,39.0,20480.4,70.0,11325.5,52.0,63152.3,431.0,45446.5,630.0,39592.9,5469.0,37491.2,3625.0,35455.6,537.0,25311.4,86.0,95125.5,1446.0,63734.1,516.0,55527.8,449.0,47293.3,801.0,45061.5,538.0,48918.3,2246.0,72692.9,114.0,55617.4,707.0,44709.2,616.0,38927.8,169.0,89398.3,138.0,63933.7,1960.0,53164.4,827.0,47531.8,1106.0,15938.3,220,11263.9,3364,11242.0,122,7899.61,38,50631.7,503,33594.2,1262,29119.3,2631,27115.4,3475
hardnet39ds,858994124,13997848,32216.9,52.0,37907.5,359.0,21530.6,31.0,16246.7,37.0,20045.1,154.0,151198.0,933.0,80091.2,1148.0,57143.0,1303.0,175215.0,81248.0,6669.28,189.0,27137.6,454.0,17968.6,106.0,74334.0,84.0,41029.2,154.0,23680.2,1415.0,189642.0,9047.0,96949.3,471.0,74146.7,5137.0,73849.7,9025.0,12550.6,1133.0,80906.0,208.0,47317.8,225.0,203762.0,5120.0,115628.0,1622.0,82825.2,1060.0,66459.0,1256.0,55857.6,1087.0,55195.1,2225.0,18920.1,115.0,214006.0,182.0,143157.0,1881.0,109655.0,1299.0,91912.9,761.0,247838.0,227.0,158332.0,2491.0,120169.0,1030.0,102833.0,340.0,52449.4,1071.0,26562.6,974,15483.6,774,7377.17,235,21836.4,45,13474.1,924,102234.0,947,56293.2,1146,41270.3,587,34324.8,873,3747.66,45,16461.4,30.0,19741.8,47.0,13262.9,35.0,11208.6,35.0,11794.4,26.0,66963.0,1181.0,44236.6,366.0,37245.5,592.0,36812.3,8589.0,14721.9,50.0,11015.0,57.0,44119.1,118.0,26803.1,77.0,13238.3,328.0,70359.7,844.0,46334.1,238.0,38654.3,1457.0,37339.7,4420.0,55394.8,235.0,33065.8,100.0,152424.0,1118.0,90179.0,614.0,70635.1,703.0,57783.4,719.0,53067.1,693.0,54311.4,2500.0,116972.0,155.0,75232.6,1878.0,57536.5,713.0,47896.0,240.0,145145.0,212.0,90832.3,1915.0,69023.1,471.0,58058.9,567.0,25254.2,233,15437.5,3266,18755.0,130,11520.4,55,86873.9,291,50528.8,1804,38937.3,1352,32726.9,2127
hardnet68ds,1550614228,16820632,58198.3,123.0,68322.8,280.0,38292.3,65.0,28713.7,52.0,36079.2,77.0,268409.0,1010.0,141927.0,1012.0,99358.3,2510.0,104556.0,33226.0,10917.7,113.0,47750.5,860.0,30860.7,137.0,131404.0,108.0,71717.4,313.0,39567.7,1308.0,337042.0,10085.0,173782.0,1072.0,142708.0,9982.0,114759.0,3027.0,18786.5,1691.0,143214.0,225.0,82782.2,238.0,361907.0,2276.0,201492.0,1828.0,143392.0,2444.0,113486.0,1449.0,97590.2,1170.0,103749.0,20956.0,32208.2,138.0,372950.0,659.0,249106.0,633.0,192765.0,694.0,160491.0,1214.0,435781.0,392.0,274979.0,5650.0,208563.0,747.0,179439.0,1310.0,88186.0,2531.0,46777.5,1319,26576.7,898,11858.2,216,38429.0,89,23840.4,1098,180594.0,1709,97879.0,1511,70712.9,491,58035.1,1212,5781.42,39,29171.2,49.0,34898.0,58.0,22638.9,39.0,18783.8,35.0,20291.3,22.0,117028.0,351.0,75191.4,386.0,61846.8,610.0,54569.8,1794.0,25664.8,59.0,18542.9,101.0,78315.0,63.0,46560.2,794.0,24626.9,1118.0,126289.0,920.0,79501.1,176.0,63996.4,1542.0,61108.1,3042.0,97805.8,514.0,57165.7,148.0,270027.0,2131.0,158763.0,1154.0,120870.0,1001.0,99257.8,1215.0,89988.1,1760.0,90750.6,1632.0,204869.0,584.0,129997.0,2069.0,99310.1,763.0,81613.2,308.0,254340.0,272.0,156187.0,2725.0,118911.0,1343.0,100046.0,481.0,44360.9,488,25493.1,1040,33205.2,157,19951.2,80,152946.0,549,86844.9,500,66938.9,2301,59753.3,5551
hrnet_w18_small_v1,3203569660,52805464,119606.0,134.0,137441.0,153.0,80826.4,603.0,64712.1,105.0,74258.1,109.0,498514.0,4996.0,249778.0,1624.0,181422.0,605.0,147487.0,662.0,20538.6,492.0,95343.5,829.0,65914.8,258.0,243567.0,76.0,136462.0,215.0,70531.6,490.0,586975.0,18245.0,303346.0,2452.0,256304.0,23863.0,237254.0,29835.0,23964.6,1110.0,275891.0,334.0,159634.0,452.0,706028.0,6709.0,366684.0,3480.0,262525.0,2162.0,217705.0,1632.0,190358.0,975.0,184099.0,2069.0,51095.1,226.0,764676.0,455.0,456810.0,1394.0,358695.0,2421.0,315342.0,1339.0,836480.0,422.0,506222.0,3435.0,397912.0,1974.0,349723.0,913.0,124452.0,878.0,91959.2,784,55506.5,1082,17872.6,214,74748.1,192,46245.0,1607,369668.0,2608,197266.0,2614,142468.0,958,117286.0,1753,8227.31,44,36983.3,61.0,43645.8,261.0,27354.5,95.0,22436.7,49.0,24841.7,52.0,145083.0,1548.0,88132.6,832.0,69578.2,753.0,67029.6,13539.0,34680.1,192.0,23701.6,420.0,123813.0,223.0,69351.9,144.0,32080.7,1495.0,166507.0,2421.0,100058.0,3721.0,78206.5,3466.0,86028.2,4081.0,151033.0,492.0,86249.0,238.0,433002.0,2889.0,240154.0,1963.0,177871.0,1209.0,141585.0,1422.0,123667.0,967.0,118310.0,1411.0,337627.0,313.0,202439.0,1163.0,148079.0,789.0,120391.0,767.0,418161.0,269.0,243055.0,2342.0,177824.0,460.0,146297.0,846.0,69988.0,1516,39386.0,1657,53189.0,153,30655.6,56,254730.0,1888,139891.0,1756,101855.0,974,85360.8,1970
hrnet_w18_small_v2,5191978708,62534468,204557.0,151.0,235761.0,155.0,137613.0,163.0,108726.0,218.0,127520.0,886.0,831610.0,12812.0,427022.0,9594.0,307994.0,4002.0,253043.0,1910.0,33613.2,709.0,164260.0,1383.0,111705.0,1140.0,442191.0,305.0,247997.0,513.0,122915.0,988.0,967058.0,41274.0,505182.0,2704.0,408995.0,27414.0,395906.0,31162.0,38654.2,2130.0,484108.0,516.0,283683.0,573.0,1169230.0,10141.0,622948.0,7085.0,453154.0,4699.0,369747.0,3263.0,322540.0,1658.0,316656.0,25379.0,85402.3,85.0,1334550.0,4103.0,859564.0,6232.0,683011.0,2659.0,591121.0,2270.0,1503040.0,1154.0,945259.0,3003.0,738693.0,4908.0,653786.0,1818.0,218139.0,2925.0,158419.0,1189,97622.7,5366,30707.1,71,126673.0,209,79306.7,2235,633196.0,4388,337752.0,4655,242631.0,1455,199825.0,3603,13731.0,36,64278.8,76.0,76256.8,352.0,48712.8,293.0,39832.0,226.0,44746.0,1559.0,252254.0,1907.0,151107.0,751.0,119101.0,1629.0,100779.0,439.0,59547.4,128.0,40825.2,181.0,211361.0,348.0,119402.0,99.0,59096.5,1808.0,287344.0,10122.0,165598.0,1952.0,133278.0,5430.0,137098.0,10146.0,253526.0,1425.0,143554.0,518.0,719012.0,3730.0,398396.0,2509.0,297036.0,3007.0,236277.0,1378.0,204506.0,2501.0,197672.0,3935.0,570491.0,727.0,345823.0,643.0,254871.0,1189.0,206607.0,967.0,705915.0,473.0,414810.0,3514.0,302767.0,1071.0,253681.0,10446.0,115809.0,2825,68841.3,1136,90374.4,104,52910.1,57,427611.0,1148,237266.0,1268,177382.0,3742,152323.0,4762
mnasnet_a1,624420918,15546576,29998.7,51.0,34898.9,160.0,20215.2,36.0,15676.3,45.0,19095.3,87.0,155269.0,1227.0,85236.1,830.0,61307.8,1939.0,49751.7,1725.0,6494.0,131.0,26494.8,390.0,18176.9,105.0,70232.2,85.0,39493.2,84.0,24067.8,596.0,198628.0,3140.0,107732.0,473.0,83141.2,7167.0,98194.2,14356.0,11609.2,1194.0,77424.8,355.0,45399.9,229.0,196812.0,1844.0,109559.0,1541.0,79829.1,985.0,63357.6,1272.0,56547.6,1018.0,57653.0,2503.0,16593.3,125.0,219981.0,278.0,147372.0,909.0,115482.0,570.0,97828.9,597.0,252384.0,1366.0,161578.0,2044.0,125377.0,425.0,109066.0,403.0,45934.5,684.0,26329.1,920,15809.4,822,7046.91,178,20171.7,95,12579.4,760,96596.7,936,54276.4,1058,40178.5,371,34003.8,809,3585.01,47,18484.1,29.0,22268.7,45.0,15587.7,38.0,13613.6,42.0,14934.9,25.0,77809.2,323.0,53597.4,245.0,46460.9,483.0,41714.7,325.0,16089.4,64.0,12107.1,150.0,43662.8,48.0,28114.2,142.0,16392.3,2193.0,80582.5,357.0,52985.1,260.0,47750.4,1825.0,46124.3,5435.0,56280.7,167.0,35290.8,98.0,148256.0,1506.0,90266.8,1060.0,73915.4,933.0,61415.3,881.0,58695.4,430.0,63574.1,5415.0,113519.0,138.0,75874.2,479.0,59833.6,330.0,49662.2,290.0,140539.0,297.0,90833.5,1257.0,71109.6,276.0,61221.9,192.0,23567.6,469,15211.5,1358,17500.9,127,11230.6,103,82268.0,826,49243.7,775,39695.9,2230,36471.7,3208
mnasnet_b1,628895464,17505832,29317.8,39.0,34371.1,149.0,19487.4,43.0,14706.2,48.0,18587.5,48.0,156913.0,981.0,83533.8,723.0,60931.2,807.0,46900.2,1360.0,6153.97,144.0,26728.9,524.0,17915.2,136.0,71685.4,151.0,39343.6,96.0,24399.6,838.0,199628.0,9298.0,104002.0,1770.0,72745.8,2886.0,92408.5,17960.0,10084.5,912.0,77695.6,179.0,44889.5,271.0,199994.0,570.0,110858.0,1808.0,78858.9,1287.0,61817.5,1182.0,52662.4,685.0,51647.0,2223.0,15461.3,105.0,213714.0,439.0,138746.0,745.0,107277.0,542.0,86788.8,495.0,246101.0,1033.0,155215.0,447.0,116660.0,485.0,97510.7,601.0,43359.8,654.0,25283.3,991,14798.1,638,6368.77,240,19992.6,59,12562.8,925,94464.4,473,52415.7,1167,38193.5,329,31861.0,1040,3293.25,107,18063.0,33.0,21586.5,36.0,14564.1,34.0,12445.9,35.0,13095.0,18.0,78006.2,302.0,51289.3,314.0,42879.8,363.0,38136.3,291.0,15660.7,48.0,11557.0,204.0,42948.2,86.0,26734.3,42.0,14349.8,104.0,80480.4,322.0,53387.1,1039.0,45838.4,2389.0,43675.7,5128.0,54421.4,202.0,33226.2,114.0,146534.0,1211.0,87042.2,877.0,69502.1,974.0,56968.9,887.0,53814.7,1044.0,56865.8,1926.0,113877.0,122.0,74722.9,606.0,57267.7,774.0,47170.4,331.0,141431.0,258.0,88840.8,1880.0,69893.8,841.0,58622.8,279.0,22597.3,151,14165.3,400,17029.7,89,10477.4,40,80112.3,377,46769.6,778,36706.6,1322,30906.8,1288
mobilenet_w1,1137531880,16911920,39722.0,49.0,46760.8,243.0,25085.0,54.0,18124.7,40.0,23769.0,65.0,187762.0,950.0,95413.0,1283.0,64052.9,997.0,50490.1,957.0,6003.79,85.0,33236.5,617.0,20990.5,111.0,94199.0,131.0,49967.3,72.0,27124.9,706.0,228572.0,5613.0,117821.0,693.0,81636.4,6163.0,86888.7,8252.0,10872.1,1031.0,100503.0,240.0,54874.4,271.0,241821.0,2001.0,124603.0,1987.0,85046.9,1022.0,65993.4,729.0,56318.4,815.0,53122.2,3449.0,18758.6,123.0,246165.0,260.0,148061.0,330.0,110862.0,611.0,90309.8,812.0,288517.0,179.0,168854.0,173.0,122905.0,353.0,103467.0,1342.0,52005.3,604.0,32575.3,1473,18298.5,1056,7002.89,308,26670.4,56,16570.4,922,128429.0,419,67587.8,251,48701.1,1661,39554.1,2346,3186.71,104,16765.5,28.0,20274.0,90.0,13268.3,32.0,11098.4,29.0,11875.2,17.0,65915.2,538.0,43466.0,353.0,35804.7,380.0,36278.5,9600.0,15574.2,70.0,10919.0,55.0,49977.0,40.0,29384.3,70.0,17322.6,283.0,73934.9,699.0,45296.4,1060.0,38530.2,2043.0,39634.3,4337.0,63368.9,510.0,36413.8,491.0,171180.0,1055.0,99431.0,937.0,74915.2,884.0,60660.9,1050.0,55350.7,1111.0,55321.2,1916.0,129094.0,120.0,77717.4,470.0,57982.2,523.0,48014.3,208.0,160582.0,126.0,94647.0,1059.0,71331.2,354.0,59291.7,645.0,26625.8,174,15925.8,172,21270.0,110,12668.9,48,99597.1,339,55850.5,1182,42374.0,1775,34341.3,2446
mobilenet_w3d4,650839528,10337200,24364.7,53.0,28449.1,145.0,15704.9,78.0,11764.4,39.0,14629.5,64.0,116493.0,635.0,61539.1,569.0,44559.9,1709.0,33558.5,399.0,4892.18,144.0,20807.1,409.0,13311.0,86.0,57057.4,101.0,30792.2,66.0,17655.8,512.0,142510.0,4961.0,73881.2,491.0,52405.4,2080.0,58716.1,5216.0,7610.89,791.0,61662.2,210.0,34527.8,260.0,152241.0,1998.0,79406.4,1510.0,56858.6,721.0,43499.7,778.0,38092.5,622.0,36407.9,2535.0,14275.2,88.0,158031.0,232.0,97715.8,977.0,75702.6,380.0,62495.1,279.0,183884.0,198.0,111283.0,1117.0,82523.5,274.0,70339.9,356.0,33089.3,393.0,21165.2,988,11541.1,634,4762.01,170,16428.1,45,10294.2,952,78926.2,394,42407.0,757,31211.3,385,26041.0,1884,2351.04,120,11373.8,25.0,13661.0,37.0,9261.17,27.0,7957.56,28.0,8325.8,18.0,44357.5,426.0,30242.9,254.0,25723.8,291.0,22966.7,218.0,10500.1,38.0,7662.04,39.0,31651.4,58.0,19269.2,39.0,9408.89,54.0,47877.6,254.0,30590.6,763.0,27557.7,2342.0,26867.8,4071.0,40900.4,295.0,23968.9,188.0,110236.0,1271.0,62787.3,729.0,50219.2,572.0,39849.0,589.0,38207.7,1040.0,37763.9,2364.0,82936.0,116.0,52386.0,613.0,40690.8,431.0,32745.9,204.0,102680.0,106.0,63028.4,1112.0,49036.0,147.0,40668.0,589.0,17250.5,93,10642.8,275,13346.4,55,8164.37,35,62803.9,244,35893.8,426,28471.5,1776,22820.1,917
mobilenet_wd2,299020264,5332272,12249.3,29.0,14470.3,83.0,8272.71,28.0,6407.32,24.0,7732.13,39.0,63680.1,912.0,34923.4,411.0,24889.9,153.0,19419.8,218.0,2711.19,118.0,10679.8,145.0,6993.99,166.0,30480.7,153.0,16776.3,40.0,82260.6,2867.0,79384.5,4033.0,42373.8,1902.0,31618.6,1605.0,28287.3,1721.0,6320.56,922.0,32087.0,138.0,18674.0,163.0,81301.8,1519.0,45245.4,1067.0,31943.1,1702.0,25333.2,532.0,22124.6,647.0,24431.2,13352.0,7579.27,96.0,86476.8,217.0,57446.1,503.0,43508.1,648.0,35847.2,454.0,100049.0,237.0,63396.1,1030.0,47990.7,388.0,40251.2,424.0,20834.1,641.0,11013.7,765,6526.47,2572,3375.39,286,8543.15,47,5217.61,560,39408.3,434,21790.3,193,16329.8,804,13905.2,1462,1568.15,132,6794.23,18.0,8104.32,37.0,5845.38,40.0,5263.17,27.0,5217.45,14.0,25993.8,282.0,18737.0,237.0,16630.8,207.0,14696.9,678.0,6187.08,22.0,4708.5,121.0,17198.5,52.0,10980.2,42.0,6153.11,564.0,27738.8,677.0,19241.7,228.0,16995.6,892.0,15710.2,3050.0,22573.7,147.0,14069.1,270.0,58426.5,1130.0,35274.3,460.0,30624.8,727.0,23569.8,410.0,22879.7,477.0,24640.0,3262.0,43949.7,97.0,30064.5,343.0,23432.1,371.0,19241.5,151.0,54742.4,131.0,36574.8,619.0,27970.1,216.0,24103.7,161.0,9568.52,413,6340.88,2175,7163.91,42,4604.59,28,33482.7,189,19989.3,1112,15987.2,831,13300.9,553
mobilenet_wd4,82074088,1896980,4509.69,28.0,5378.79,76.0,3380.76,17.0,2761.44,21.0,3274.11,129.0,25435.3,401.0,14683.3,259.0,11384.4,228.0,9458.21,520.0,1733.0,118.0,4112.76,68.0,2861.53,32.0,10502.9,44.0,6297.11,45.0,4144.62,54.0,29049.3,365.0,17084.3,751.0,13309.2,1381.0,13216.2,1621.0,4586.98,878.0,11386.5,81.0,7387.45,67.0,31786.9,736.0,18936.0,539.0,14191.3,406.0,11656.5,462.0,10914.7,481.0,11492.1,2234.0,4427.83,131.0,35047.0,111.0,26768.8,336.0,20872.2,406.0,17941.0,196.0,39921.5,271.0,28720.1,649.0,22369.9,305.0,19754.9,276.0,10775.4,1087.0,4305.48,488,2823.61,485,2189.97,206,3305.8,39,2130.78,23,14280.8,407,8704.38,240,6909.2,360,6348.85,1303,1092.2,110,3258.59,17.0,3870.99,18.0,2943.53,18.0,2683.56,16.0,2615.47,11.0,12117.4,109.0,9249.87,105.0,8515.4,257.0,7775.05,185.0,2939.4,42.0,2231.49,53.0,7072.31,27.0,4907.63,25.0,2834.57,229.0,12121.7,146.0,9345.31,1007.0,8261.59,594.0,8046.22,1153.0,9595.72,443.0,6659.29,51.0,23358.2,369.0,15840.6,251.0,13846.4,229.0,11565.2,173.0,11218.5,443.0,12605.9,7298.0,18309.8,72.0,13790.4,340.0,11208.7,209.0,9766.28,80.0,22753.6,101.0,16583.0,421.0,13246.5,56.0,12035.3,255.0,4043.38,91,2834.07,316,2977.95,30,2086.54,23,13631.5,120,8930.94,691,7483.95,725,6536.46,1726
mobilenetb_w1,1137531880,16893080,39540.8,75.0,45858.3,159.0,24772.6,55.0,17997.3,42.0,23585.2,152.0,188206.0,3082.0,96007.6,1065.0,64417.3,1417.0,50691.0,1409.0,5986.2,93.0,33232.3,577.0,21026.2,102.0,93630.8,91.0,49462.3,74.0,27266.0,2258.0,220766.0,6940.0,113617.0,586.0,93632.6,4330.0,76517.5,5291.0,10786.2,893.0,100081.0,279.0,54515.3,249.0,239997.0,1226.0,123975.0,2394.0,84459.4,1014.0,64485.7,709.0,55989.8,1636.0,52208.9,2526.0,18688.3,94.0,245181.0,486.0,146606.0,1218.0,110390.0,629.0,91107.6,444.0,288575.0,156.0,168066.0,350.0,123004.0,290.0,102762.0,446.0,50972.2,386.0,33818.1,829,18225.6,1033,6940.59,267,26679.5,54,16748.2,880,127486.0,764,67474.1,893,47842.2,759,38937.5,1039,3190.43,99,16835.0,25.0,20248.3,50.0,13312.9,32.0,11116.1,30.0,11893.0,21.0,65901.9,337.0,43231.8,287.0,35721.2,366.0,31914.6,608.0,15556.2,116.0,11138.8,61.0,49980.8,76.0,29394.8,40.0,14806.7,714.0,75458.4,989.0,44942.4,211.0,38535.1,2032.0,38150.0,4049.0,63625.1,526.0,36368.6,495.0,172642.0,1072.0,99154.5,895.0,75105.4,512.0,61297.0,1079.0,54961.3,854.0,56936.4,3092.0,129158.0,118.0,77193.4,733.0,58282.9,593.0,48018.2,264.0,160770.0,115.0,95737.7,559.0,71224.8,244.0,59404.7,245.0,26668.3,528,16047.7,477,21247.0,103,12687.2,54,99497.9,634,55590.2,598,42314.8,1847,34265.9,1009
mobilenetb_w3d4,650839528,10321304,24267.9,59.0,28380.9,172.0,15579.2,35.0,11765.1,89.0,14580.1,51.0,114073.0,670.0,59522.5,877.0,43496.6,784.0,33235.2,400.0,4881.53,81.0,20669.2,401.0,13305.9,102.0,57102.4,215.0,30667.9,77.0,18333.1,711.0,136634.0,3824.0,74506.2,625.0,51229.6,2244.0,69815.4,8649.0,8257.83,1364.0,61323.9,164.0,34349.1,294.0,151460.0,2003.0,80231.0,1128.0,57800.2,5979.0,43340.3,905.0,37704.6,308.0,36075.4,1537.0,14267.1,94.0,156300.0,167.0,97858.6,289.0,74705.7,1016.0,61913.3,462.0,183551.0,386.0,110956.0,333.0,82512.7,350.0,69759.0,308.0,32852.8,421.0,21022.5,780,11495.0,541,4744.96,184,16492.8,51,10414.7,954,78838.2,487,42492.3,858,31292.6,1069,27121.3,3119,2363.49,109,11380.0,26.0,13701.2,52.0,9274.2,32.0,7972.33,31.0,8332.67,18.0,44525.5,436.0,30152.3,290.0,25633.1,337.0,26718.4,7529.0,10502.0,86.0,7474.43,71.0,31591.9,29.0,19279.3,67.0,10422.7,684.0,47619.6,234.0,30413.2,200.0,27545.9,2422.0,29719.9,7758.0,40903.9,273.0,23889.8,150.0,108661.0,1177.0,63671.9,520.0,49863.9,548.0,39968.3,611.0,37637.1,523.0,38373.3,3709.0,82856.9,117.0,51625.7,832.0,40497.2,445.0,32901.3,185.0,102743.0,109.0,63548.1,659.0,49074.0,220.0,40575.4,193.0,17405.3,355,10639.6,265,13307.8,38,8139.52,31,62751.0,380,36032.0,805,28328.1,1176,22745.9,682
mobilenetb_wd2,299020264,5319436,12259.3,33.0,14392.3,79.0,8283.29,28.0,6319.46,28.0,7902.94,26.0,62652.0,526.0,34844.8,409.0,24732.9,352.0,19360.2,574.0,2811.53,123.0,10802.3,232.0,7245.68,62.0,30375.1,76.0,16849.3,85.0,9906.86,310.0,77798.5,1959.0,41605.1,3771.0,29255.7,3620.0,28943.4,4517.0,6366.17,1075.0,31907.3,120.0,18440.6,130.0,81273.4,1156.0,44588.4,1106.0,32198.7,681.0,25186.1,795.0,22395.4,2270.0,22388.6,1745.0,7512.9,107.0,86335.8,94.0,57044.9,283.0,43464.4,645.0,35635.6,477.0,99246.7,677.0,61849.2,1078.0,47509.3,400.0,40343.2,514.0,19103.5,410.0,10842.4,683,6286.16,422,3350.63,328,8561.57,60,5274.21,612,39335.2,431,21855.5,552,16165.7,182,13844.6,1067,1563.16,123,6807.22,20.0,8123.89,29.0,5833.32,22.0,5258.28,27.0,5699.4,17.0,25869.1,189.0,18644.5,299.0,16638.3,148.0,15145.4,580.0,6155.61,21.0,4821.09,25.0,17182.8,34.0,10958.0,25.0,6169.52,593.0,27183.8,381.0,18894.9,148.0,16499.2,709.0,14715.5,2090.0,22551.3,113.0,13953.2,240.0,57942.1,1049.0,35431.0,1161.0,30550.9,459.0,23565.0,422.0,22578.0,365.0,24227.2,2553.0,43924.3,81.0,29511.7,709.0,23636.5,247.0,19299.3,90.0,54731.6,188.0,36529.2,533.0,27894.7,172.0,23835.5,140.0,9566.33,287,6176.29,391,7161.37,43,4601.19,26,33571.5,417,20045.3,674,16003.7,864,13484.5,1217
